Date,Amount In BNB,Price, Amount in USD, From, To, Direction
12/26/2021,"0.200358","543.00","108.79",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x45878310451b4f1c8e8590c0b59be01ffc52c7be,OUT
12/26/2021,"1.106836","542.60","600.57",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x45878310451b4f1c8e8590c0b59be01ffc52c7be,OUT
12/25/2021,"0.54742","548.10","300.04",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x45878310451b4f1c8e8590c0b59be01ffc52c7be,OUT
12/25/2021,"0.550791","544.00","299.63",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x45878310451b4f1c8e8590c0b59be01ffc52c7be,OUT
12/24/2021,"0.00","544.70","0.00",0xf70b82b04d828106386d9ab916faf0746e128ab7,0xe9e7cea3dedca5984780bafc599bd69add087d56,OUT
12/23/2021,"1.256892","529.10","665.02",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x5c7a5eb21aecb8a97d575c987623b92f8f1f2d17,OUT
12/20/2021,"0.00","521.00","0.00",0xf70b82b04d828106386d9ab916faf0746e128ab7,0xe9e7cea3dedca5984780bafc599bd69add087d56,OUT
12/18/2021,"1.40","532.10","744.94",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x271f5ad780bafc9c753c975ba2a5ae6f06691b88,OUT
12/17/2021,"0.038168","525.00","20.04",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x173909b4b865fe2456888f95f9f41e55e617028c,OUT
12/17/2021,"0.076265","523.60","39.93",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x271f5ad780bafc9c753c975ba2a5ae6f06691b88,OUT
12/10/2021,"0.00","558.80","0.00",0xf70b82b04d828106386d9ab916faf0746e128ab7,0xe9e7cea3dedca5984780bafc599bd69add087d56,OUT
12/6/2021,"0.174747","570.70","99.73",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x5c7a5eb21aecb8a97d575c987623b92f8f1f2d17,OUT
12/2/2021,"0.803283","622.20","499.80",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x45878310451b4f1c8e8590c0b59be01ffc52c7be,OUT
11/29/2021,"3.455321","618.80","2,138.15",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x5c7a5eb21aecb8a97d575c987623b92f8f1f2d17,OUT
11/22/2021,"2.044939","590.30","1,207.13",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x5c7a5eb21aecb8a97d575c987623b92f8f1f2d17,OUT
11/19/2021,"2.813484","534.00","1,502.40",0xf70b82b04d828106386d9ab916faf0746e128ab7,0xd9b56ee8ec8349d393e4d05fd30bf54883689639,OUT
11/16/2021,"10.821173","587.60","6,358.52",0x30a620aaf22484ae70f39c975b02495d2b9d0f8c,0xf70b82b04d828106386d9ab916faf0746e128ab7,IN
11/15/2021,"4.650506","643.50","2,992.60",0xf70b82b04d828106386d9ab916faf0746e128ab7,0x5c7a5eb21aecb8a97d575c987623b92f8f1f2d17,OUT
11/6/2021,"8.30","609.10","5,055.53",0x51534a8fd62ce7ba64cd92924fe52f4557d21772,0xf70b82b04d828106386d9ab916faf0746e128ab7,IN


Total Inflow,"19.121173 BNB","11,414.05 USD"
Total Outflow,"19.11901 BNB","11,218.77 USD"
